연번,계약번호,구분,계약명,계약일자,계약시작일,계약종료일,계약금액,거래처,계약방법,수의계약사유,구매요구부서,출처파일,시트명
184,L20200788,용역,공간해상도 향상 및 PAN Colorization 알고리즘 개발,2020-04-20,2020-04-20,2020-12-21,62300000.0,한국과학기술원,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
319,L20201147,제작,SAR 편파 품질평가 코너 리플렉터 세트 제작,2020-06-05,2020-05-28,2021-03-12,62000000.0,(주)씨앤지 마이크로웨이브,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
809,L20203144,물품구매,업무망 모바일 이메일 관리시스템(500 User) 구축,2020-12-18,2020-12-16,2021-01-15,62000000.0,(주)지란지교시큐리티,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
448,L20201717,용역,항공우주기술을 활용한 스타트업 성장 지원 용역,2020-07-27,2020-07-27,2020-12-24,61600000.0,우주항공산업(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
555,L20202109,물품구매,제주통합운영시스템 위성비행역학 운영 및 분석을 위한 STK 및 Runtime 라이선스 구매,2020-09-11,2020-09-11,2020-10-13,61400000.0,주식회사케이씨이아이,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
489,L20201884,제작,배송용 틸트로터 드론 풍동시험 파워모델 제작,2020-08-13,2020-08-13,2020-09-14,61270000.0,주식회사 나르마,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
405,L20201529,용역,한국형발사체개발사업 3단계 3차 체계관리시스템 운영 지원 및 기능 개선,2020-07-08,2020-07-08,2021-02-26,60600000.0,에스앤에스이앤지(주),수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
52,L20200255,용역,2020년도 전기설비 정밀안전진단용역,2020-02-19,2020-02-19,2020-12-31,60405160.0,주식회사 케이피앤안전진단기술원,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
242,L20200945,용역,나로우주센터 및 제주추적소 자가용전기설비 안전점검 용역,2020-05-13,2020-05-13,2020-12-15,60333750.0,(주)지명,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
524,L20202002,용역,외부연료탱크 정하중 시험치구 상세설계 및 해석,2020-08-31,2020-08-31,2020-12-30,59620000.0,에스브이디(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
494,L20201905,물품구매,연구원 업무망 클라우드시스템 증설용 서버 구매,2020-08-17,2020-08-17,2020-09-18,59300000.0,(주)삼인에이치엔티,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
191,L20200784,물품구매,차세대중형위성 GS Validation용 MCIRE 가상화 서버 및 OS 구매,2020-04-21,2020-04-21,2020-06-19,59000000.0,유에이테크,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
391,L20201473,제작,OPPAV 실기체 전방프롭시험장치용 작동기 제작,2020-07-01,2020-07-01,2020-12-18,59000000.0,(주)컨트로맥스,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
838,L20203252,제작,전기펌프 배터리 팩 시작품 제작,2020-12-29,2020-12-29,2021-01-31,59000000.0,(주)에스브이엠테크,수의계약,26조1항2호자목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
312,L20201188,물품구매,엔시스 씨에프디 프리미엄 솔버,2020-06-03,2020-06-03,2020-07-02,58850000.0,(주)태성에스엔이,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
218,L20200898,용역,저해상도 이종 분광 영상자료의 공간선명도 보상 알고리즘 개발,2020-05-06,2020-05-06,2020-12-18,58790000.0,충북대학교 산학협력단,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
759,L20203085,물품구매,차량번호 인식 시스템 교체,2020-12-01,2020-12-01,2020-12-20,58784000.0,(주)엔지스웨이,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
442,L20201679,용역,OPPAV 전자기적합성(EMC) 통제 기술용역,2020-07-23,2020-07-23,2021-01-22,58700000.0,주식회사 이앤알,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
630,L20202505,용역,초소형위성 지표반사도 알고리즘 검증 및 융합반사도 산출 용역,2020-10-20,2020-10-20,2021-04-15,58700000.0,서울대학교산학협력단,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
197,L20200744,용역,GS 인증 평가,2020-04-24,2020-04-24,2020-08-31,58542000.0,한국산업기술시험원,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
717,L20202918,용역,지상관측타워 초기 운영 및 시스템 업데이트,2020-11-18,2020-11-18,2021-04-15,58500000.0,전남대학교산학협력단,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
463,L20201773,용역,극지운용을 위한 QTP 구조 개발,2020-08-03,2020-08-03,2020-10-30,58000000.0,성우엔지니어링,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
599,L20202367,제작,소형위성발사체용 추진제탱크 인증시험 가압장비 제작,2020-10-05,2020-10-05,2020-12-24,58000000.0,한양이엔지(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
651,L20202585,용역,나로우주센터 해안복합 감시시스템 열영상카메라 교체,2020-10-26,2020-10-26,2021-03-02,58000000.0,(주)글로벌시스템스,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
553,L20202131,제작,전기추진 수직이착륙 축소기 프로펠러 및 추력시험장치 제작,2020-09-10,2020-09-10,2020-10-22,57800000.0,성우엔지니어링,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
634,L20202508,물품구매,다목적실용위성 7호 네트워크 스위치 장비 구매,2020-10-21,2020-10-21,2020-11-30,57790000.0,(주)라온정보,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
29,L20200118,제작,한국형발사체 구조시험 제어룸 음향장치 제작 및 설치,2020-02-03,2020-02-03,2020-03-31,57684000.0,(주)에스엠인스트루먼트,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
508,L20201972,용역,나로우주센터 제주추적소 원격자료수신장비 유지보수 용역,2020-08-25,2020-08-25,2021-08-24,57508000.0,(주)루맥스에어로스페이스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
718,L20202911,물품구매,성능검증위성 운영 지원용 안테나 유지보수용 보조장치(예비품) 구매,2020-11-19,2020-11-16,2021-03-15,57500000.0,(주)솔탑,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
678,L20202747,물품구매,충전적합성 시험장비 구매,2020-11-06,2020-11-06,2020-12-24,57200000.0,(주)제니스코리아,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
475,L20201819,용역,150마력 공기압축기와 관련 부가설비 교체 및 유지보수,2020-08-07,2020-08-07,2020-10-15,57000000.0,(주)수도산업기계,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
836,L20203249,공사,위험시험동 클린룸 증기공급용 보일러 교체 및 배관 연결 공사,2020-12-29,2020-12-29,2021-03-31,56800000.0,(주)대열보일러,수의계약,26조1항2호바목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
201,L20200848,물품구매,다목적실용위성 7A호 탑재체 조립정렬용 위치측정자료 처리 및 분석 도구 구매,2020-04-24,2020-04-24,2020-06-30,56017500.0,한국헥사곤메트롤로지(유),수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
660,L20202648,물품구매,"대용량 위성영상 자료처리 체계 구축용 랙, 이더넷 스위치",2020-10-30,2020-10-30,2021-01-27,55522590.0,(주)성지이앤지,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
573,L20202229,용역,2단형 소형발사체 외부형상 전산유동해석 기술용역,2020-09-21,2020-09-21,2020-12-24,55400000.0,(주)캐드아이티코리아,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
360,L20201361,제작,한국형발사체 1단 전방동체 3차 시제품 QM 설계 추가 제작,2020-06-22,2020-06-22,2020-08-03,55100000.0,데크항공주식회사,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
812,L20203203,물품구매,차세대중형위성 1호 영상 데이터 수신 및 처리 검증을 위한 위상영상 수신카드 구매,2020-12-21,2020-12-21,2021-01-19,55000000.0,(주)쎄트렉아이,수의계약,26조1항2호사목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
142,L20200607,제작,위성관제용 200W급 고출력증폭기 제작,2020-03-31,2020-03-31,2020-11-30,54500000.0,(주)티오피씨쓰,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
488,L20201883,제작,"엔진고공 연소시험설비 진공챔버 내 영상획득장치 정비, 재설치 및 개통 용역",2020-08-13,2020-08-13,2020-10-30,54500000.0,주식회사 아이비에스코리아,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
761,L20203087,제작,고고도 환경모사시험을 위한 AETF C1 압축기 열교환기 코어 제작,2020-12-01,2020-12-01,2021-01-09,54022500.0,주식회사 하이옥스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
42,L20200149,물품구매,부가처리시스템 SW 라이선스(유지보수) 구매,2020-02-10,2020-02-10,2020-03-10,54000000.0,(주)인디웨어,수의계약,26조1항2호자목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
431,L20201653,용역,소형 및 초소형 위성 다중탑재 개념 설계 용역,2020-07-20,2020-07-20,2020-12-24,53990000.0,(주)스페이스베이,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
350,L20201407,물품구매,항공기 공력 해석용 전산유체해석 소프트웨어(STAR-CCM+) 1년 라이센스 구매,2020-06-18,2020-06-18,2020-07-18,53900000.0,대전조달청,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
706,L20202912,물품구매,C-밴드 영상레이더용 반사체 안테나 모의실험 툴 라이선스 구매,2020-11-16,2020-11-16,2020-12-15,53900000.0,주식회사엠티지,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
766,L20203094,용역,혼합현실 활용 정보 증강 어플리케이션 개발,2020-12-02,2020-12-01,2021-02-01,53900000.0,(주)옐로테일,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
771,L20203119,용역,드론 운용 시스템 개발 용역,2020-12-04,2020-12-04,2021-10-30,53900000.0,(주)에이오비,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
818,L20203237,물품구매,프로펠러 설계 해석용 전산유체해석 소프트웨어 STAR-CCM+ 1년 라이센스 구매,2020-12-22,2020-12-22,2021-01-21,53900000.0,대전조달청,수의계약,26조1항2호자목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
438,L20201664,용역,다목적실용위성 영상자료 Spatial 품질 확인 및 검정을 위한 몽골 Edge Target 유지보수,2020-07-22,2020-07-22,2020-12-10,53350000.0,(주)인화엔지니어링,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
425,L20201606,제작,분사기(AM) 브레이징 검증시제 및 폴리머 연소기 제작,2020-07-17,2020-07-17,2020-09-14,52900000.0,주식회사 비츠로넥스텍,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
782,L20203154,물품구매,차세대 통합행정정보시스템 DR용 HCI(HyperConverged Infrastructure) 서버 구매,2020-12-09,2020-12-09,2021-01-22,52864510.0,주식회사 아이옵스,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
237,L20200952,용역,정지궤도복합위성 2호 전기검증모델 운용 기술용역,2020-05-12,2020-05-12,2020-09-30,52700000.0,AP위성(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
821,L20203225,제작,한국형발사체 KRE-075용 착화기 제작,2020-12-23,2020-12-23,2021-01-31,52600000.0,(주)한화,수의계약,26조1항2호사목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
70,L20200316,용역,한국항공우주연구원 기관목표 컨설팅 및 체계개선 용역,2020-02-26,2020-02-26,2020-05-31,52140000.0,유한회사 이지엠티엔씨,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
357,L20201341,공사,우주종합시험센터 TH-4 승강기 부분개선공사,2020-06-19,2020-06-19,2020-09-16,52100000.0,(주)대명엘리베이터,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
629,L20202502,물품구매,위성영상 대기보정을 위한 대기복사계 구매,2020-10-20,2020-10-20,2021-01-29,51348000.0,(주)유샘인스트루먼트,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
152,L20200617,물품구매,CATIA Engineering 운용시스템 구매,2020-04-01,2020-04-01,2020-05-01,51205000.0,(주)솔리드이엔지,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
214,L20200894,물품구매,정밀대형위성시험동 무정전전원공급장치(UPS) 구매,2020-04-29,2020-04-29,2020-07-28,50900000.0,대전조달청,3자단가계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
751,L20203072,용역,한국형 위성항법시스템 개발 경제적 효과(B/C) 분석 및 사업운영관리 체계 기획연구,2020-11-30,2020-11-30,2021-05-28,50600000.0,(주)테크노베이션파트너스,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
839,L20203214,물품구매,풍동모형 압력 측정용 전자식 압력 스캐너,2020-12-30,2020-12-30,2021-05-28,50600000.0,정진시스템,수의계약,26조1항2호사목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
615,L20202457,물품구매,축소기 탑재용 GNSS 수신기 구매,2020-10-15,2020-10-15,2020-11-30,50490000.0,인성인터내쇼날주식회사,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
243,L20200946,물품구매,발사안전통제실 영상모니터링 시스템 설치,2020-05-13,2020-05-13,2020-10-09,50402240.0,(주)우리텍,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
546,L20202082,용역,"한국형발사체 1단 엔진 4기 재조립, 치구제작 및 이송",2020-09-08,2020-09-08,2020-10-30,50400000.0,한화에어로스페이스(주),수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
273,L20201083,용역,중소기업 대상 우수기술 마케팅 및 수요발굴 지원 용역,2020-05-22,2020-05-22,2021-01-16,50360000.0,주식회사 에프엔피파트너스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
17,L20200018,용역,차세대중형위성1호 광학영상 절대복사보정기법 개발 및 평가,2020-01-14,2020-01-14,2021-02-27,50000000.0,부경대학교산학협력단,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
80,L20200373,용역,프로펠러 효과와 항공기 회전 각속도를 반영할 수 있는 3차원 패널(Panel) 코드 개발,2020-03-04,2020-03-04,2020-11-20,50000000.0,부산대학교산학협력단,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
726,L20202976,용역,도심 항공모빌리티 기체운용 성능분석 및 공력 DB 구축 용역,2020-11-23,2020-11-23,2021-08-31,50000000.0,서울대학교산학협력단,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
806,L20203193,용역,도심 항공모빌리티 운용자격제도 및 보안검색 방안 개발 용역,2020-12-16,2020-12-16,2021-08-31,50000000.0,항공안전기술원,수의계약,26조1항2호     ,,경영공시7_구매계약현황(2020년).xlsx,결과
715,L20202916,물품구매,소형무인기용 조종면 작동기 구매,2020-11-18,2020-11-18,2020-12-21,49720000.0,(주)컨트로맥스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
621,L20202465,용역,중적외 Target 개발을 위한 현장관측 자료수집 Pilot Test 용역,2020-10-16,2020-10-16,2020-12-23,49600000.0,주식회사에스아이아이에스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
224,L20200903,용역,CAN 기반 통신 프로토콜 설계 및 AFCS 시험용 Emulator 제작,2020-05-07,2020-05-07,2020-11-02,49100000.0,(주)디지트로그,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
51,L20200210,용역,2020년도 국제우주운영대회(SpaceOps 2020) 부스 제작 및 운영 용역,2020-02-18,2020-02-17,2021-07-16,48900000.0,주식회사플라넥스,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
547,L20202108,물품구매,위성 조립 및 시험용 마스트식 고소접근장비 구매,2020-09-09,2020-09-09,2020-12-09,48500000.0,하우롯데코리아(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
675,L20202711,물품구매,한국형발사체 고주파 진동음향 해석용 소프트웨어 라이선스,2020-11-05,2020-11-05,2020-12-04,48500000.0,(주)솔리드이엔지,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
645,L20202594,용역,대내외 환경변화를 고려한 발사체 산업생태계 대응 전략 연구,2020-10-23,2020-10-23,2020-12-31,48400000.0,주식회사 에어로솔루션즈,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
680,L20202717,제작,"한국형발사체 단분리장치 FM2, FM3 제작",2020-11-09,2020-11-09,2020-12-21,48300000.0,(주)대아테크,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
518,L20201999,물품구매,소형무인기 정밀고도시스템용 RTK-GNSS수신기 구매,2020-08-28,2020-08-28,2020-10-23,48268000.0,인성인터내쇼날주식회사,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
351,L20201315,용역,한국형발사체 시스템 신뢰도 분석기법 연구 용역,2020-06-19,2020-06-19,2020-12-15,48179120.0,한국항공대학교산학협력단,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
8,L20200002,용역,정지궤도복합위성 2B호 정전기 방지용 스크린 발사장 작업,2020-01-06,2020-01-06,2020-03-31,48150000.0,주식회사 이엘엠,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
223,L20200902,용역,KC-100 비행시험 데이터를 이용한 운동모델 개발,2020-05-07,2020-05-07,2021-12-31,48000000.0,경상대학교 산학협력단,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
679,L20202752,용역,위성원격명령어 지상처리 코어엔진 개발,2020-11-06,2020-11-06,2021-02-24,48000000.0,(주)한컴인스페이스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
774,L20203125,물품구매,달탐사 발사환경시험용 진동 가속도 센서 및 케이블 구매,2020-12-07,2020-12-07,2021-01-31,47988000.0,미래코리아비지니스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
172,L20200543,용역,한국형발사체 구조시험 치구 보존 및 보관,2020-04-14,2020-04-14,2021-04-13,47700000.0,(주)일산기계,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
277,L20201086,제작,상단엔진 시험설비 시험용 고유량 고온고압 스팀 이젝터 제작,2020-05-25,2020-05-25,2020-07-24,47700000.0,주식회사 비츠로넥스텍,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
235,L20200935,용역,드론 잠재적 활용분야 및 UAM 관련 지적재산권 상세 조사분석,2020-05-12,2020-05-12,2020-11-30,47500000.0,화인특허법률사무소,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
673,L20202707,제작,터보펌프 터빈로터 HIP 소재 제작,2020-11-05,2020-11-05,2020-12-28,47500000.0,코힙스테크,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
804,L20203182,제작,FM 분리 시험용 위성분리장치 제작,2020-12-16,2020-12-16,2020-12-30,47500000.0,(주)대아테크,수의계약,26조1항2호사목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
222,L20200901,용역,리스크 및 프로젝트 관리 체계 구축,2020-05-07,2020-05-07,2020-12-31,47300000.0,씨엔비스(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
227,L20200937,물품구매,발사체 구조-음향 해석용 COMSOL multiphysics 구매,2020-05-08,2020-05-12,2020-06-19,47300000.0,컴텍시스템,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
480,L20201840,용역,특허출원 심의 운영 및 지식재산권 통합관리 지원 용역,2020-08-12,2020-08-12,2021-06-30,47300000.0,(주)디 파트너스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
785,L20203147,용역,달 착륙 영상항법용 카메라 시작품(EM) 제작,2020-12-10,2020-12-10,2021-02-19,47200000.0,액츠주식회사,제한경쟁,,,경영공시7_구매계약현황(2020년).xlsx,결과
233,L20200926,제작,위성체 Alignment 측정 시스템 프로그램 제작,2020-05-11,2020-05-11,2021-02-28,47100000.0,(주)다솜시스템,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
510,L20201973,제작,한국형발사체 3단 페이로드지지부 복합재 탑재패널 FM2 시제 제작,2020-08-26,2020-08-26,2020-12-24,47000000.0,(주)한국화이바,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
226,L20200906,제작,UTM 정밀통합항법 실증용 저속비행체 제작,2020-05-08,2020-05-08,2020-08-28,46950000.0,주식회사 나르마,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
762,L20203095,물품구매,다목적실용위성7호 시험용 소모품 스코프 프로브 구매,2020-12-01,2020-12-01,2020-12-31,46948000.0,서기산업,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
741,L20203021,제작,달 착륙선 전개시험용 로버 시작품 제작,2020-11-25,2020-11-25,2021-02-19,46830000.0,제이엔티(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
244,L20200950,공사,제주추적소 보안시설(출입구) 개선공사,2020-05-13,2020-05-13,2020-07-11,46798570.0,주식회사 동명건설,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
677,L20202720,용역,"무인이동체원천기술개발사업 웹기반 프로젝트, 형상관리 및 협업환경 시스템 구축",2020-11-05,2020-11-05,2021-02-02,46739000.0,(주)소프트베르크,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
729,L20202979,제작,터보펌프 Seal Package 제작,2020-11-24,2020-11-24,2020-12-31,46500000.0,(주)스페이스솔루션,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
132,L20200567,제작,A_HiREV 본체부착 태양전지판 제작,2020-03-27,2020-03-27,2020-06-05,46200000.0,드림스페이스월드주식회사,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
671,L20202702,제작,터보펌프 실매질 시험설비 소형 테스트 스탠드 수정,2020-11-04,2020-11-04,2020-12-23,46200000.0,한양이엔지(주),수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
441,L20201662,물품구매,우주환경종합시험센터 Cleanroom Classification Test Sensor,2020-07-23,2020-07-23,2020-10-20,46000000.0,주식회사 마스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
245,L20200960,제작,"소형 이동형 온도제어 유닛(SMTU) 히터 제작, 설치 및 케이싱 도어 제작",2020-05-13,2020-05-13,2020-07-17,45914000.0,(주)에너베스트,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
160,L20200669,용역,정보보안 및 네트워크 장비 유지보수,2020-04-07,2020-04-07,2020-12-14,45685200.0,(주)새암정보기술,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
767,L20203063,제작,외부연료탱크 시험프레임 제작 및 설치,2020-12-03,2020-11-30,2021-01-20,45684000.0,더블유에스엔지니어링(주),제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
186,L20200795,물품구매,협의체 플랫폼 가상사설망 장비 구매,2020-04-20,2020-04-20,2020-05-22,45678540.0,(주)케이엔비씨,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
39,L20200136,물품구매,데이터 획득장치 확장모듈 구매,2020-02-07,2020-02-07,2020-06-05,45650000.0,(주)데베트론코리아,수의계약,26조1항2호자목 ,,경영공시7_구매계약현황(2020년).xlsx,결과
217,L20200863,제작,한국형발사체 유공압 엄빌리칼 분리장치 제작 및 시험,2020-05-04,2020-04-29,2020-08-31,45600000.0,(주)대아테크,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
323,L20201219,용역,KSLV-II 동체 복합재료 물성시편 시험(7차),2020-06-05,2020-06-05,2020-11-30,45474000.0,(주)알에스피,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
262,L20201045,용역,한국형발사체 탑재위성 기계진동 환경해석 및 결과 후처리 개발,2020-05-19,2020-05-19,2020-11-30,45400000.0,주식회사 브이엠브이테크,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
491,L20201886,용역,항공기 외부연료탱크 슬로싱/MOI시험지원 기술용역,2020-08-14,2020-08-14,2020-11-30,45300000.0,(주)디엠티아이,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
733,L20202992,제작,OPPAV 전기체 정적 구조시험체 거동측정장치,2020-11-25,2020-11-25,2020-12-24,45100000.0,주식회사 나르마,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
523,L20202001,용역,항공우주기술 대학생 창업아카데미 운영,2020-08-31,2020-08-31,2021-02-28,45000000.0,(주)와이즈플래닛 파트너스,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
595,L20202318,용역,추적레이다 레이돔 개폐장치 성능개선 용역,2020-10-05,2020-10-05,2020-12-24,45000000.0,미르텍코리아,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
710,L20202893,용역,무인이동체 신기술 및 발전전망 공유를 위한 포럼운영 및 e-포럼 영상제작 용역,2020-11-17,2020-11-17,2020-11-30,45000000.0,주식회사 랩플랜,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
683,L20202766,물품구매,소형무인기 정밀고도시스템용 RTK-GNSS 수신기 구매,2020-11-09,2020-11-09,2020-12-18,44968000.0,인성인터내쇼날주식회사,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
598,L20202366,용역,부가산출물 입력자료 생성을 위한 GK-2A용 대기보정 알고리즘 개발,2020-10-05,2020-10-05,2021-04-15,44900000.0,(사)한국기상학회,제한경쟁,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
625,L20202459,용역,지상안테나 시스템 HDR 점검 및 수리,2020-10-19,2020-10-19,2020-11-20,44650000.0,주식회사 싸이택,수의계약,26조1항5호가목,,경영공시7_구매계약현황(2020년).xlsx,결과
